 04/19/2022, 70906B, FB24Z, ZMAX FENCE BRACKET, 4.000,EACH,"5.56
"
 04/04/2022, 65321B, LSS, LAG STAINLESS STEEL,0.040,EACH,"2.00
"
 04/04/2022, 65469B, LSS, LAG STAINLESS STEEL,0.075,EACH,"3.75
"
 04/20/2022, 71620B, LSS, LAG STAINLESS STEEL,0.200,EACH,"9.00
"
 04/21/2022, 72139B, LSS, LAG STAINLESS STEEL,0.200- EACH,"9.00-
"
 04/23/2022, 73107B, LUS26Z,Z MAX 2X6 SINGLE JOIST HANGER,2.000,EACH,"2.98
"
 0, GLUES ADHESIVES CAULK, T o t a l," 644.83
"
 04/16/2022, 70548A, 01-KV208WH5," 20"" BRACKET WHITE REINFORCED 50",3.000,EACH," 50.97
"
 04/04/2022, 65577B, 1212GYPROC,"1/2"" GYPROC 1/2SHT", 1.000,EACH," 10.99
"
 04/08/2022, 67590B, 1212GYPROC,"1/2"" GYPROC 1/2SHT", 1.000,EACH," 10.99
"
 04/25/2022, 73501B, 1212GYPROC,"1/2"" GYPROC 1/2SHT", 1.000,EACH," 10.99
"
 04/30/2022, 76456B, 1212GYPROC,"1/2"" GYPROC 1/2SHT", 1.000,EACH," 10.99
"
 04/06/2022, 66381B, 17-0491, DECKOTE CHARCOAL GALLON,1.000,EACH," 89.99
"
 04/14/2022, 69863A, 2173256, REPLACEMENT HIT-1 NOZZLE, 1.000,EACH,"7.29
"
 04/20/2022, 71811B, 5422X1G, BEN EXT LOW LUSTRE 2BASE, 1.000,EACH," 57.74
"
 04/06/2022, 66613B, 6344X1Q, AURA EXT LOW LUSTRE,1.000,EACH," 44.99
"
 04/05/2022, 66223A, 6404X1G, ARBORCOAT SOLID 4B, 1.000,EACH," 55.79
"
 04/12/2022, 69036A, 6404X1G, ARBORCOAT SOLID 4B, 1.000,EACH," 55.79
"
 04/12/2022, 69039A, 6404X1G, ARBORCOAT SOLID 4B, 1.000,EACH," 55.79
"
 04/20/2022, 71656B, 9128-25," BARON SASH BRUSH 2.5""",1.000,EACH,"8.99
"
 04/22/2022, 72751A, 9792532," 36"" NIFTY GRABBING TOOL UNGER",1.000,EACH," 31.49
"
 04/18/2022, 70728B, DHS500XT6," UNIVERESAL EXTENSION 7/16""X5-1/",1.000,EACH," 33.99
"
 04/21/2022, 72141B, KB12512TZ2,"KB-TZ2 1/2""X5-1/2""", 2.000,EACH,"9.60
"
 04/29/2022, 75709A, KR641, WOOSTER 5MM PRO/DOO Z SLEEVE, 1.000,EACH,"6.99
"
 04/29/2022, 75713A, KR641, WOOSTER 5MM PRO/DOO Z SLEEVE, 1.000- EACH,"6.99-
"
